Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2264,44.9546,374345,16828529.737
812,334.908,433400,145149127.20000002
1358,97.2156,2228115,216607536.59399998
1778,40.8635,7450,304433.075
828,45.4532,156765,7125470.898
2213,8.07837,30425,245784.40725
1726,65.5195,1200,78623.4
2054,37.2896,57665,2150304.784
1903,16.1097,4200,67660.74
509,133.977,590870,79162989.99000001
1751,10.0901,0,0.0
62,40.4224,95870,3875295.4880000004
2151,40.7196,141035,5742888.786
239,98.774,4405,435099.47000000003
1893,44.3029,170,7531.493
1305,111.513,3541070,394875338.91
1673,34.2884,4725,162012.69
492,45.4197,686355,31174038.1935
2249,320.874,2071985,664846114.8900001
264,17.7912,182295,3243246.804
2123,26.1783,14560,381156.048
116,27.1629,14995,407307.6855
1159,18.1708,83735,1521531.938
1270,263.009,3197085,840862128.7650001
2165,28.2044,360,10153.584
1152,171.372,40120,6875444.640000001
792,79.0312,36665,2897678.948
1979,51.6033,291710,15053198.643
2185,56.1164,8770,492140.828

weighted_avg,NA,NA,2440582768.62925
weighted_%,NA,NA,1.0
weighted_total,2440582768.62925
