Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
2264,44.9546,37772,1698025.1512,22933,1030943.8417999999
812,334.908,369425,123723387.9,95624,32025242.592
1358,97.2156,88247,8578985.053199999,77496,7533820.1376
1778,40.8635,450,18388.575,120,4903.62
828,45.4532,532,24181.1024,1531,69588.8492
2213,8.07837,9,72.70533,152,1227.9122399999999
1726,65.5195,3369,220735.19549999997,586,38394.426999999996
2054,37.2896,1741,64921.1936,1880,70104.448
1903,16.1097,315,5074.5555,98,1578.7506
509,133.977,72287,9684795.399,10013,1341511.7010000001
1751,10.0901,0,0.0,0,0.0
62,40.4224,43687,1765933.3888,11930,482239.232
2151,40.7196,156,6352.2576,1060,43162.776
239,98.774,3222,318249.828,953,94131.622
1893,44.3029,602,26670.3458,179,7930.2191
1305,111.513,110351,12305571.063000001,99284,11071456.692
1673,34.2884,6834,234326.92560000002,854,29282.2936
492,45.4197,52072,2365094.6184,18764,852255.2507999999
2249,320.874,142223,45635662.902,144136,46249494.864
264,17.7912,38863,691419.4055999999,10827,192625.3224
2123,26.1783,532,13926.8556,775,20288.1825
116,27.1629,8366,227244.82140000002,2626,71329.7754
1159,18.1708,214,3888.5512,992,18025.4336
1270,263.009,38794,10203171.146,75746,19921879.714
2165,28.2044,5033,141952.7452,711,20053.3284
1152,171.372,2071,354911.412,1635,280193.22000000003
792,79.0312,193532,15295066.1984,6368,503270.6816
1979,51.6033,4501,232266.4533,1277,65897.4141
2185,56.1164,5,280.582,103,5779.9892

weighted_avg,NA,NA,233840556.33063,NA,122046612.29014002
weighted_%,NA,NA,0.6570637464589466,NA,0.3429362535410534
weighted_total,355887168.62077004
