Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,55433,2491968.3418,0,0.0
812,334.908,86650,29019778.200000003,0,0.0
1358,97.2156,330853,32164072.906799998,0,0.0
1778,40.8635,1354,55329.179000000004,0,0.0
828,45.4532,19223,873746.8636,0,0.0
2213,8.07837,1332,10760.38884,0,0.0
1726,65.5195,189,12383.1855,0,0.0
2054,37.2896,6518,243053.6128,0,0.0
1903,16.1097,640,10310.208,0,0.0
509,133.977,112373,15055397.421,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,14122,570845.1328,0,0.0
2151,40.7196,16084,654934.0464,0,0.0
239,98.774,780,77043.72,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,512790,57182751.27,0,0.0
1673,34.2884,818,28047.911200000002,0,0.0
492,45.4197,116346,5284400.4162,0,0.0
2249,320.874,335071,107515572.054,0,0.0
264,17.7912,23544,418876.0128,0,0.0
2123,26.1783,1660,43455.978,0,0.0
116,27.1629,1792,48675.9168,0,0.0
1159,18.1708,9338,169678.9304,0,0.0
1270,263.009,388253,102114033.27700001,0,0.0
2165,28.2044,51,1438.4243999999999,0,0.0
1152,171.372,6344,1087183.968,0,0.0
792,79.0312,7762,613440.1744,0,0.0
1979,51.6033,48798,2518137.8334,0,0.0
2185,56.1164,1200,67339.68,0,0.0

weighted_avg,NA,NA,358332655.05314,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,358332655.05314
