Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
2264,44.9546,2208092,99263892.6232,70880,3186382.048,2213,99484.5298,4722,212275.6212
812,334.908,1436022,480935255.976,554989,185870256.012,2607,873105.1560000001,105,35165.340000000004
1358,97.2156,1798185,174811633.686,157136,15276070.521599999,39625,3852168.15,8988,873773.8128
1778,40.8635,1586826,64843264.251,445,18184.2575,281,11482.6435,8,326.908
828,45.4532,3851065,175043227.65800002,332,15090.4624,1059,48134.9388,1908,86724.7056
2213,8.07837,1483967,11988034.493789999,0,0.0,1,8.07837,945,7634.059649999999
1726,65.5195,1390241,91087895.1995,5204,340963.47799999994,42,2751.8189999999995,4,262.078
2054,37.2896,1490047,55563256.6112,4117,153521.2832,20,745.792,813,30316.4448
1903,16.1097,851203,13712624.9691,281,4526.8257,190,3060.843,23,370.5231
509,133.977,1431859,191836173.243,70990,9511027.23,29480,3949641.96,1087,145632.999
1751,10.0901,1391569,14041070.366899999,0,0.0,0,0.0,0,0.0
62,40.4224,1750822,70772427.21280001,63257,2556999.7568,508,20534.5792,834,33712.2816
2151,40.7196,3337845,135915713.262,47,1913.8212,95,3868.362,2165,88157.934
239,98.774,1539049,152018025.926,5061,499895.214,6,592.644,2,197.548
1893,44.3029,723429,32050002.6441,955,42309.2695,0,0.0,0,0.0
1305,111.513,2240908,249890373.80400002,200832,22395378.816,43691,4872114.483,20867,2326941.771
1673,34.2884,1696113,58157000.9892,10125,347170.05000000005,28,960.0752000000001,61,2091.5924
492,45.4197,1419680,64481439.695999995,60881,2765196.7557,25046,1137581.8062,2077,94336.7169
2249,320.874,2869916,920881426.5840001,293684,94235559.816,53062,17026216.188,1102,353603.14800000004
264,17.7912,4037716,71835812.89919999,57893,1029985.9416,41,729.4392,3038,54049.6656
2123,26.1783,1552576,40643800.3008,1654,43298.9082,413,10811.6379,0,0.0
116,27.1629,2384150,64760428.035000004,11873,322505.1117,17,461.7693,217,5894.3493
1159,18.1708,2018814,36683465.4312,512,9303.4496,173,3143.5484,2433,44209.5564
1270,263.009,3464023,911069225.207,95877,25216513.893000003,14487,3810211.3830000004,51795,13622551.155000001
2165,28.2044,1139804,32147487.937599998,6787,191423.2628,0,0.0,1,28.2044
1152,171.372,2038369,349319372.268,1446,247803.912,3687,631848.564,28,4798.416
792,79.0312,1013764,80118985.4368,255663,20205353.6856,98,7745.0576,63,4978.9655999999995
1979,51.6033,1400755,72283580.49149999,477,24614.7741,5788,298679.9004,1896,97839.8568
2185,56.1164,4165708,233764536.4112,2,112.2328,0,0.0,142,7968.5288

weighted_avg,NA,NA,4949919433.61409,NA,384511360.789,NA,36666083.34787,NA,18133842.18195
weighted_%,NA,NA,0.9184834888040777,NA,0.07134809785872125,NA,0.006803583897838105,NA,0.0033648294393630544
weighted_total,5389230719.932909
