Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2264,44.9546,170885,7682066.8209999995,1029,46258.2834,3854897,173295352.6762
812,334.908,63727,21342682.116,876,293379.408,4078620,1365962466.96
1358,97.2156,280852,27303195.6912,6506,632484.6936,3275614,318440780.37839997
1778,40.8635,353354,14439281.179000001,2760,112783.26000000001,17509711,715508075.4485
828,45.4532,972585,44207100.522,9286,422078.41520000005,3447658,156707088.6056
2213,8.07837,808592,6532105.35504,56285,454691.05545,4051291,32727827.675669998
1726,65.5195,95519,6258357.120499999,1815,118917.89249999999,3931626,257598169.707
2054,37.2896,52300,1950246.08,411,15326.0256,3320293,123812397.8528
1903,16.1097,655143,10554157.1871,2654,42755.1438,2528664,40736018.4408
509,133.977,1016003,136121033.931,4974,666401.598,2627773,352061143.221
1751,10.0901,299336,3020330.1736,10483,105774.5183,3209032,32379453.7832
62,40.4224,59262,2395512.2688,576,23283.3024,4102332,165826105.03680003
2151,40.7196,458097,18653526.6012,8534,347501.0664,3713063,151194440.1348
239,98.774,96291,9511047.234,86,8494.564,3892131,384441347.394
1893,44.3029,413799,18332495.717100002,672,29771.5488,1610899,71367497.3071
1305,111.513,297408,33164858.304,11989,1336929.357,3681232,410505224.01600003
1673,34.2884,85320,2925486.288,57,1954.4388000000001,4745707,162722699.89880002
492,45.4197,636262,28898829.161399998,5593,254032.3821,2592775,117763062.6675
2249,320.874,165715,53173634.910000004,9713,3116649.162,4307009,1382007205.8660002
264,17.7912,624548,11111458.3776,67862,1207346.4144,3093931,55044745.2072
2123,26.1783,350049,9163687.7367,526,13769.7858,1867107,48877687.1781
116,27.1629,268075,7281694.4175,1064,28901.3256,2899045,78746469.4305
1159,18.1708,121289,2203918.1612,22294,405099.8152,3422373,62187255.3084
1270,263.009,172185,45286204.665,6557,1724550.013,3741534,984057115.8060001
2165,28.2044,119492,3370200.1648,3949,111379.1756,3386882,95524974.6808
1152,171.372,405384,69471466.848,8472,1451863.584,3433531,588411074.5320001
792,79.0312,75445,5962508.884,70,5532.184,3727293,294572438.5416
1979,51.6033,629792,32499345.5136,17453,900632.3949,2472771,127603143.7443
2185,56.1164,990323,55573361.5972,4692,263298.14879999997,3103829,174175709.6956

weighted_avg,NA,NA,688389793.0265402,NA,14141838.956650002,NA,8924256971.19467
weighted_%,NA,NA,0.0715077292545199,NA,0.0014690089851959248,NA,0.9270232617602842
weighted_total,9626788603.17786
