Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
2264,44.9546,1093,49135.3778,5270,236910.742
812,334.908,9399,3147800.2920000004,37054,12409681.032
1358,97.2156,2418,235067.3208,33894,3295025.5464
1778,40.8635,7,286.0445,30,1225.905
828,45.4532,1,45.4532,766,34817.1512
2213,8.07837,0,0.0,119,961.32603
1726,65.5195,0,0.0,97,6355.3915
2054,37.2896,18,671.2128,614,22895.8144
1903,16.1097,0,0.0,31,499.40070000000003
509,133.977,2012,269561.724,3494,468115.63800000004
1751,10.0901,0,0.0,0,0.0
62,40.4224,1647,66575.6928,1365,55176.576
2151,40.7196,0,0.0,590,24024.564
239,98.774,65,6420.31,211,20841.314
1893,44.3029,0,0.0,0,0.0
1305,111.513,2939,327736.707,43951,4901107.863
1673,34.2884,340,11658.056,254,8709.2536
492,45.4197,1190,54049.443,6593,299452.0821
2249,320.874,5097,1635494.7780000002,68012,21823282.488
264,17.7912,1221,21723.0552,3519,62607.2328
2123,26.1783,2,52.3566,64,1675.4112
116,27.1629,7,190.1403,464,12603.5856
1159,18.1708,2,36.3416,443,8049.6644
1270,263.009,848,223031.632,34959,9194531.631000001
2165,28.2044,0,0.0,2,56.4088
1152,171.372,42,7197.624000000001,410,70262.52
792,79.0312,4449,351609.8088,1306,103214.7472
1979,51.6033,103,5315.1399,343,17699.9319
2185,56.1164,0,0.0,67,3759.7988

weighted_avg,NA,NA,6413658.510299999,NA,53083543.01963
weighted_%,NA,NA,0.1077976500638205,NA,0.8922023499361795
weighted_total,59497201.529929996
