Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,2123,95438.6158,0,0.0
812,334.908,7602,2545970.616,0,0.0
1358,97.2156,10302,1001515.1111999999,0,0.0
1778,40.8635,80,3269.08,0,0.0
828,45.4532,236,10726.9552,0,0.0
2213,8.07837,7,56.54859,0,0.0
1726,65.5195,23,1506.9485,0,0.0
2054,37.2896,198,7383.3408,0,0.0
1903,16.1097,38,612.1686,0,0.0
509,133.977,5617,752548.809,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,426,17219.9424,0,0.0
2151,40.7196,90,3664.764,0,0.0
239,98.774,59,5827.666,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,13475,1502637.675,0,0.0
1673,34.2884,46,1577.2664000000002,0,0.0
492,45.4197,4747,215607.3159,0,0.0
2249,320.874,17205,5520637.170000001,0,0.0
264,17.7912,787,14001.6744,0,0.0
2123,26.1783,62,1623.0546,0,0.0
116,27.1629,74,2010.0546,0,0.0
1159,18.1708,100,1817.08,0,0.0
1270,263.009,6696,1761108.2640000002,0,0.0
2165,28.2044,5,141.022,0,0.0
1152,171.372,381,65292.732,0,0.0
792,79.0312,658,52002.5296,0,0.0
1979,51.6033,1045,53925.4485,0,0.0
2185,56.1164,5,280.582,0,0.0

weighted_avg,NA,NA,13638402.435090004,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,13638402.435090004
