Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,2297,103260.7162,1462,65723.6252
812,334.908,7894,2643763.7520000003,932,312134.256
1358,97.2156,11238,1092508.9128,4025,391292.79
1778,40.8635,93,3800.3055000000004,14,572.089
828,45.4532,253,11499.6596,346,15726.807200000001
2213,8.07837,9,72.70533,53,428.15360999999996
1726,65.5195,27,1769.0265,5,327.59749999999997
2054,37.2896,226,8427.4496,202,7532.4992
1903,16.1097,40,644.388,12,193.3164
509,133.977,5667,759247.659,707,94721.739
1751,10.0901,0,0.0,0,0.0
62,40.4224,454,18351.769600000003,220,8892.928
2151,40.7196,98,3990.5208,250,10179.9
239,98.774,63,6222.762,14,1382.836
1893,44.3029,13,575.9377000000001,4,177.2116
1305,111.513,14686,1637679.918,6066,676437.858
1673,34.2884,51,1748.7084000000002,25,857.21
492,45.4197,4862,220830.5814,1154,52414.3338
2249,320.874,18473,5927505.402000001,5996,1923960.5040000002
264,17.7912,845,15033.564,514,9144.6768
2123,26.1783,71,1858.6593,59,1544.5197
116,27.1629,80,2173.032,54,1466.7966000000001
1159,18.1708,113,2053.3004,266,4833.4328
1270,263.009,7381,1941269.429,9802,2578014.2180000003
2165,28.2044,5,141.022,3,84.6132
1152,171.372,392,67177.82400000001,149,25534.428000000004
792,79.0312,676,53425.091199999995,8,632.2496
1979,51.6033,1063,54854.3079,251,12952.4283
2185,56.1164,5,280.582,30,1683.492

weighted_avg,NA,NA,14580166.986229997,NA,6198846.509509999
weighted_%,NA,NA,0.7016775358088653,NA,0.2983224641911347
weighted_total,20779013.495739996
