Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
2264,44.9546,0,0.0,0,0.0,0,0.0,4505,202520.473,318340,14310847.364
812,334.908,0,0.0,0,0.0,0,0.0,5460,1828597.6800000002,422100,141364666.8
1358,97.2156,0,0.0,0,0.0,0,0.0,62365,6062850.893999999,2046065,198909436.614
1778,40.8635,65,2656.1275,0,0.0,0,0.0,0,0.0,6885,281345.1975
828,45.4532,0,0.0,0,0.0,0,0.0,2315,105224.15800000001,120070,5457565.724
2213,8.07837,0,0.0,0,0.0,0,0.0,0,0.0,22245,179703.34065
1726,65.5195,0,0.0,0,0.0,0,0.0,0,0.0,1085,71088.65749999999
2054,37.2896,0,0.0,0,0.0,0,0.0,215,8017.264,41545,1549196.432
1903,16.1097,0,0.0,0,0.0,0,0.0,0,0.0,3360,54128.592
509,133.977,0,0.0,0,0.0,0,0.0,6370,853433.49,563705,75523504.785
1751,10.0901,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,40.4224,0,0.0,0,0.0,0,0.0,830,33550.592000000004,79830,3226920.1920000003
2151,40.7196,0,0.0,0,0.0,0,0.0,440,17916.624,106360,4330936.656
239,98.774,0,0.0,0,0.0,0,0.0,0,0.0,3835,378798.29
1893,44.3029,0,0.0,0,0.0,0,0.0,0,0.0,130,5759.377
1305,111.513,0,0.0,0,0.0,0,0.0,111615,12446523.495000001,3273720,365062338.36
1673,34.2884,0,0.0,0,0.0,0,0.0,0,0.0,4165,142811.18600000002
492,45.4197,0,0.0,0,0.0,0,0.0,23815,1081670.1554999999,620575,28186330.3275
2249,320.874,0,0.0,0,0.0,0,0.0,50260,16127127.240000002,1898960,609326891.0400001
264,17.7912,2685,47769.372,0,0.0,0,0.0,1695,30156.084,133885,2381974.812
2123,26.1783,0,0.0,0,0.0,0,0.0,2040,53403.732,10060,263353.698
116,27.1629,0,0.0,0,0.0,0,0.0,0,0.0,9915,269320.1535
1159,18.1708,1385,25166.558,0,0.0,0,0.0,2225,40430.03,56130,1019927.004
1270,263.009,8275,2176399.475,0,0.0,0,0.0,19720,5186537.48,2690675,707671741.075
2165,28.2044,0,0.0,0,0.0,0,0.0,0,0.0,230,6487.012
1152,171.372,0,0.0,0,0.0,0,0.0,1340,229638.48,33245,5697262.140000001
792,79.0312,0,0.0,0,0.0,0,0.0,0,0.0,36195,2860534.284
1979,51.6033,0,0.0,0,0.0,0,0.0,4635,239181.29549999998,267420,13799754.486
2185,56.1164,0,0.0,0,0.0,0,0.0,0,0.0,7145,400951.678

weighted_avg,NA,NA,2251991.5325,NA,0.0,NA,0.0,NA,44546779.16700001,NA,2182733575.2776504
weighted_%,NA,NA,0.0010100734966072028,NA,0.0,NA,0.0,NA,0.01998032423587747,NA,0.9790096022675153
weighted_total,2229532345.9771504
