Simpoints,Weight,ICACHE_HIT_val,ICACHE_HIT_w_val,ICACHE_MISS_val,ICACHE_MISS_w_val
2264,44.9546,1648989,74129640.8994,3760,169029.296
812,334.908,1636674,548135215.992,8826,2955898.008
1358,97.2156,1414503,137511757.8468,15263,1483801.7027999999
1778,40.8635,1418740,57974681.99,108,4413.258
828,45.4532,2656929,120765925.2228,599,27226.466800000002
2213,8.07837,1257431,10157992.86747,62,500.85893999999996
1726,65.5195,1214058,79544473.131,32,2096.624
2054,37.2896,1418594,52898802.8224,428,15959.9488
1903,16.1097,835529,13460121.5313,52,837.7044
509,133.977,1357745,181906601.865,6374,853969.398
1751,10.0901,1291314,13029487.3914,0,0.0
62,40.4224,1550795,62686855.808000006,674,27244.697600000003
2151,40.7196,2246422,91473405.2712,348,14170.4208
239,98.774,1440428,142276835.272,77,7605.598
1893,44.3029,697838,30916247.130200002,17,753.1493
1305,111.513,1715631,191315159.703,21450,2391953.85
1673,34.2884,1528992,52426689.2928,76,2605.9184
492,45.4197,1239287,56288043.7539,6016,273244.9152
2249,320.874,1934959,620878034.166,24469,7851465.906
264,17.7912,2873792,51128208.230399996,1622,28857.326399999998
2123,26.1783,1366568,35774427.0744,130,3403.179
116,27.1629,1297587,35246225.9223,134,3639.8286000000003
1159,18.1708,1561651,28376447.9908,385,6995.758
1270,263.009,2186273,575009475.457,17285,4546110.565
2165,28.2044,1061158,29929324.6952,8,225.6352
1152,171.372,1542848,264400947.45600003,541,92712.25200000001
792,79.0312,1208900,95540817.67999999,684,54057.3408
1979,51.6033,1187415,61274532.4695,1314,67806.7362
2185,56.1164,2645039,148430066.53959998,35,1964.074

weighted_avg,NA,NA,3862886445.4718695,NA,20888550.416240003
weighted_%,NA,NA,0.9946215858440935,NA,0.005378414155906419
weighted_total,3883774995.8881097
