Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2264,44.9546,4339230,195068348.958
812,334.908,3910015,1309495303.6200001
1358,97.2156,5693367,553484088.9252
1778,40.8635,10713847,437805286.8845
828,45.4532,9881950,449166249.74
2213,8.07837,4736610,38264088.1257
1726,65.5195,2988264,195789563.14799997
2054,37.2896,2862793,106752405.8528
1903,16.1097,3142460,50624087.862
509,133.977,9595163,1285531153.251
1751,10.0901,3677235,37103668.8735
62,40.4224,3923591,158600964.8384
2151,40.7196,9259130,377028069.948
239,98.774,2946385,291026231.99
1893,44.3029,3569297,158130208.0613
1305,111.513,7045801,785698406.913
1673,34.2884,3974954,136294812.73360002
492,45.4197,7369021,334698723.1137
2249,320.874,4594366,1474212595.884
264,17.7912,16048511,285522268.9032
2123,26.1783,11326796,296516263.7268
116,27.1629,6200521,168424131.8709
1159,18.1708,3882449,70547204.2892
1270,263.009,5889519,1548996502.671
2165,28.2044,3276310,92406357.764
1152,171.372,3791008,649672622.9760001
792,79.0312,4191035,331222525.292
1979,51.6033,4513388,232905714.9804
2185,56.1164,15929330,893896654.012

weighted_avg,NA,NA,12944884505.208197
weighted_%,NA,NA,1.0
weighted_total,12944884505.208197
