Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2264,44.9546,109987183,4944429816.8918
812,334.908,112442736,37657971828.288
1358,97.2156,162247111,15772950244.1316
1778,40.8635,346686960,14166842589.960001
828,45.4532,265644135,12074375996.982
2213,8.07837,141679865,1144542371.02005
1726,65.5195,89625036,5872187546.202
2054,37.2896,87422050,3259933275.68
1903,16.1097,101141788,1629363862.1436
509,133.977,303844719,40708203917.463
1751,10.0901,114250142,1152795357.7942
62,40.4224,117741061,4759376264.1664
2151,40.7196,256644926,10450478728.7496
239,98.774,86269306,8521164430.844
1893,44.3029,116243808,5149937801.4432
1305,111.513,198775472,22166049209.136
1673,34.2884,121390670,4162291849.228
492,45.4197,226912375,10306291998.7875
2249,320.874,98266373,31531124170.002003
264,17.7912,473405165,8422445971.548
2123,26.1783,324399906,8492238059.2398
116,27.1629,172624928,4688993656.7712
1159,18.1708,104454176,1898015941.2608
1270,263.009,130138524,34227603058.716003
2165,28.2044,102616370,2894233146.028
1152,171.372,102130999,17502393560.628002
792,79.0312,132564076,10476698003.1712
1979,51.6033,139110876,7178580267.4908
2185,56.1164,438331148,24597566033.6272

weighted_avg,NA,NA,355809078957.394
weighted_%,NA,NA,1.0
weighted_total,355809078957.394
