Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2264,44.9546,1200625,53973616.625,1085282,48788418.1972
812,334.908,1500450,502512708.6,493273,165201073.884
1358,97.2156,1041991,101297780.2596,961943,93515865.9108
1778,40.8635,1379380,56366294.63,208180,8506963.43
828,45.4532,1162834,52854526.3688,2691530,122338651.39600001
2213,8.07837,1190623,9618293.12451,294290,2377383.5072999997
1726,65.5195,1230446,80618206.697,165045,10813665.8775
2054,37.2896,1403700,52343411.52,91297,3404428.6112
1903,16.1097,822217,13245669.2049,29480,474913.956
509,133.977,1145129,153420948.033,388287,52021527.399000004
1751,10.0901,1324017,13359463.931699999,67552,681606.4352
62,40.4224,1424386,57577100.646400005,391035,15806573.184
2151,40.7196,1324329,53926147.1484,2015823,82083506.2308
239,98.774,1450417,143263488.75800002,93701,9255222.574000001
1893,44.3029,673184,29824003.4336,51200,2268308.48
1305,111.513,1246042,138949881.546,1260256,140534927.328
1673,34.2884,1381438,47367298.71920001,324889,11139923.9876
492,45.4197,976117,44334941.3049,531567,24143613.6699
2249,320.874,1361168,436763420.832,1856596,595733384.904
264,17.7912,1358985,24177973.932,2739703,48742604.0136
2123,26.1783,1109311,29039876.151300002,445332,11658034.6956
116,27.1629,1253797,34056762.5313,1142460,31032526.734
1159,18.1708,1385160,25169465.328,636772,11570656.6576
1270,263.009,1313281,345404722.52900004,2312901,608313779.1090001
2165,28.2044,1108396,31261644.1424,38196,1077295.2624
1152,171.372,1169617,200439604.52400002,873913,149764218.636
792,79.0312,1192141,94216333.7992,77447,6120729.3464
1979,51.6033,1060319,54715959.4527,348597,17988755.5701
2185,56.1164,1107888,62170686.1632,3057964,171601931.00959998

weighted_avg,NA,NA,2942270229.9361105,NA,2446960489.9968
weighted_%,NA,NA,0.545953658850356,NA,0.454046341149644
weighted_total,5389230719.932911
