Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2264,44.9546,41591,1869706.7686
812,334.908,155546,52093599.768
1358,97.2156,89633,8713725.8748
1778,40.8635,1893,77354.6055
828,45.4532,2291,104133.28120000001
2213,8.07837,131,1058.26647
1726,65.5195,11198,733687.3609999999
2054,37.2896,4033,150388.9568
1903,16.1097,654,10535.7438
509,133.977,32025,4290613.425
1751,10.0901,0,0.0
62,40.4224,37844,1529745.3056
2151,40.7196,1365,55582.254
239,98.774,3175,313607.45
1893,44.3029,1173,51967.3017
1305,111.513,113303,12634757.439000001
1673,34.2884,17742,608344.7928
492,45.4197,30702,1394475.6294
2249,320.874,147289,47261210.586
264,17.7912,25978,462179.7936
2123,26.1783,3053,79922.3499
116,27.1629,47948,1302406.7292
1159,18.1708,1489,27056.3212
1270,263.009,82574,21717705.166
2165,28.2044,13175,371592.97
1152,171.372,2540,435284.88000000006
792,79.0312,86233,6815097.4695999995
1979,51.6033,2746,141702.6618
2185,56.1164,107,6004.4547999999995

weighted_avg,NA,NA,163253447.60577
weighted_%,NA,NA,1.0
weighted_total,163253447.60577
