Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
2264,44.9546,1152200,51796690.12,1055892,47467202.5032
812,334.908,1049918,351625937.544,386104,129309318.43200001
1358,97.2156,931421,90548651.3676,866764,84262982.3184
1778,40.8635,1378779,56341735.6665,208047,8501528.5845
828,45.4532,1161986,52815982.0552,2689079,122227245.60280001
2213,8.07837,1190587,9618002.30319,293380,2370032.1906
1726,65.5195,1225896,80320092.97199999,164345,10767802.2275
2054,37.2896,1401241,52251716.3936,88806,3311540.2176
1903,16.1097,821859,13239901.9323,29344,472723.0368
509,133.977,1055493,141411785.661,376366,50424387.582
1751,10.0901,1324017,13359463.931699999,67552,681606.4352
62,40.4224,1372858,55494215.21920001,377964,15278211.993600002
2151,40.7196,1324104,53916985.2384,2013741,81998728.0236
239,98.774,1446502,142876788.548,92547,9141237.378
1893,44.3029,672431,29790643.3499,50998,2259359.2942
1305,111.513,1106484,123387350.29200001,1134424,126503023.51200001
1673,34.2884,1372318,47054588.5112,323795,11102412.478
492,45.4197,910966,41375802.430199996,508714,23105637.2658
2249,320.874,1184812,380175365.688,1685104,540706060.896
264,17.7912,1311797,23338442.7864,2725919,48497370.1128
2123,26.1783,1108635,29022179.6205,443941,11621620.6803
116,27.1629,1244456,33803033.8824,1139694,30957394.1526
1159,18.1708,1384670,25160561.636,634144,11522903.7952
1270,263.009,1262721,332106987.489,2201302,578962237.718
2165,28.2044,1102545,31096620.198,37259,1050867.7396
1152,171.372,1166613,199924803.036,871756,149394569.23200002
792,79.0312,943733,74584351.46959999,70031,5534633.9672
1979,51.6033,1053862,54382756.94459999,346893,17900823.5469
2185,56.1164,1107879,62170181.1156,3057829,171594355.2956

weighted_avg,NA,NA,2652991617.40209,NA,2296927816.2120004
weighted_%,NA,NA,0.5359666259184058,NA,0.4640333740815943
weighted_total,4949919433.61409
