Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2264,44.9546,776399895,34902746719.767
812,334.908,716549954,239978311994.23203
1358,97.2156,1163702920,113130077589.55199
1778,40.8635,2142457445,87548309803.7575
828,45.4532,1908759951,86759247804.7932
2213,8.07837,872583821,7049054962.051769
1726,65.5195,594873185,38975793644.6075
2054,37.2896,550890570,20542488999.072
1903,16.1097,756765731,12191268896.6907
509,133.977,2101217085,281514761397.045
1751,10.0901,703150896,7094862855.7296
62,40.4224,788038697,31854415425.612804
2151,40.7196,1821542206,74172470011.4376
239,98.774,525344826,51890409843.324
1893,44.3029,957748883,42431052988.6607
1305,111.513,1378058327,153671418218.751
1673,34.2884,882864070,30271996377.788002
492,45.4197,1630356115,74050285636.4655
2249,320.874,741229380,237841236078.12003
264,17.7912,2820802129,50185454837.4648
2123,26.1783,1517729244,39731571468.2052
116,27.1629,1089182763,29585362473.0927
1159,18.1708,648554939,11784762085.5812
1270,263.009,1020912053,268509058147.47702
2165,28.2044,631984790,17824751811.076
1152,171.372,726020740,124419626255.28001
792,79.0312,856771812,67711704428.5344
1979,51.6033,929294020,47954638102.266
2185,56.1164,3011973604,169021115551.50558

weighted_avg,NA,NA,2452598254407.941
weighted_%,NA,NA,1.0
weighted_total,2452598254407.941
