Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2264,44.9546,10653,478901.3538,6453,290092.0338
812,334.908,81107,27163383.156,11545,3866512.8600000003
1358,97.2156,22323,2170143.8388,17675,1718285.73
1778,40.8635,144,5884.344,8,326.908
828,45.4532,313,14226.8516,901,40953.3332
2213,8.07837,14,113.09718,94,759.36678
1726,65.5195,759,49729.3005,112,7338.183999999999
2054,37.2896,708,26401.0368,607,22634.7872
1903,16.1097,43,692.7171,38,612.1686
509,133.977,17349,2324366.973,1908,255628.116
1751,10.0901,0,0.0,0,0.0
62,40.4224,7841,316952.0384,1141,46121.9584
2151,40.7196,66,2687.4936,624,25409.0304
239,98.774,693,68450.382,201,19853.574
1893,44.3029,109,4829.0161,20,886.058
1305,111.513,29147,3250269.4110000003,24901,2776785.213
1673,34.2884,2212,75845.94080000001,197,6754.814800000001
492,45.4197,13079,594044.2563,4089,185721.1533
2249,320.874,34133,10952392.242,27356,8777829.144000001
264,17.7912,7769,138219.8328,2075,36916.74
2123,26.1783,139,3638.7837,444,11623.1652
116,27.1629,657,17846.0253,64,1738.4256
1159,18.1708,150,2725.62,464,8431.2512
1270,263.009,11632,3059320.688,32802,8627221.218
2165,28.2044,766,21604.5704,200,5640.88
1152,171.372,933,159890.076,522,89456.18400000001
792,79.0312,54370,4296926.344,1048,82824.6976
1979,51.6033,1944,100316.8152,427,22034.609099999998
2185,56.1164,4,224.4656,32,1795.7248

weighted_avg,NA,NA,55300026.669980004,NA,26930187.32898
weighted_%,NA,NA,0.6725025265126928,NA,0.3274974734873072
weighted_total,82230213.99896
