Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2264,44.9546,534245546,24016794822.2116
812,334.908,445625908,149243681596.46402
1358,97.2156,878963153,85448930296.78679
1778,40.8635,817031994,33386786886.819
828,45.4532,2499721103,113620323238.87961
2213,8.07837,674660889,5450160285.87093
1726,65.5195,88586992,5804175422.344
2054,37.2896,551310526,20558148990.3296
1903,16.1097,66913403,1077954848.3091
509,133.977,1022234916,136955967340.932
1751,10.0901,0,0.0
62,40.4224,276848366,11190875389.7984
2151,40.7196,1567310185,63820243809.126
239,98.774,65674208,6486904220.992
1893,44.3029,8573368,379825065.1672
1305,111.513,1147239403,127932107546.739
1673,34.2884,252778314,8667363941.7576
492,45.4197,945821840,42958944226.248
2249,320.874,829255089,266086397427.786
264,17.7912,1083843376,19282874271.0912
2123,26.1783,357561403,9360349676.1549
116,27.1629,847519069,23021075719.3401
1159,18.1708,498149232,9051770064.8256
1270,263.009,1239653005,326039897192.04504
2165,28.2044,88171034,2486811111.3496
1152,171.372,523729390,89752553023.08
792,79.0312,350631027,27710790821.0424
1979,51.6033,600967241,31011892827.495296
2185,56.1164,2120225753,118979436445.6492

weighted_avg,NA,NA,1759783036508.6343
weighted_%,NA,NA,1.0
weighted_total,1759783036508.6343
