Simpoints,Weight,ICACHE_UNUSEFUL_CL_val,ICACHE_UNUSEFUL_CL_w_val
2766,217.447,6840,1487337.48
2298,16.1495,0,0.0
2235,73.9095,178,13155.891
562,151.883,2943,446991.66900000005
2322,74.3347,58,4311.4126
533,77.6496,2853,221534.30880000003
655,136.191,478,65099.298
414,208.958,35739,7467949.962
253,149.505,10832,1619438.16
853,129.616,210,27219.360000000004
907,262.418,1893,496757.27400000003
1114,12.9007,8,103.2056
939,1055.11,56133,59226489.629999995
2606,11.2554,251,2825.1054
2837,150.956,9519,1436950.1639999999
1793,150.359,239,35935.801
1046,85.9267,6629,569608.0943
554,46.3771,319,14794.294899999999
1970,47.9169,142,6804.199799999999

weighted_avg,NA,NA,73143305.3104
weighted_%,NA,NA,1.0
weighted_total,73143305.3104
