Simpoints,Weight,DCACHE_MISS_val,DCACHE_MISS_w_val,DCACHE_ST_BUFFER_HIT_val,DCACHE_ST_BUFFER_HIT_w_val,DCACHE_HIT_val,DCACHE_HIT_w_val
2766,217.447,150472,32719684.984,6497,1412753.159,4568823,993476854.881
2298,16.1495,3161,51048.5695,266,4295.767,2212696,35733934.052
2235,73.9095,616683,45578732.188499995,43879,3243074.9505,3265534,241353985.17299998
562,151.883,123102,18697101.066,1179,179070.057,3476015,527947586.245
2322,74.3347,86894,6459239.4218,17,1263.6898999999999,3304516,245640205.5052
533,77.6496,703182,54601801.027200006,7775,603725.64,3638753,282547714.9488
655,136.191,239779,32655741.789,3772,513712.452,4775258,650347162.278
414,208.958,292422,61103916.276,6605,1380167.59,3912614,817571996.212
253,149.505,692706,103563010.53,9023,1348983.615,2961836,442809291.18
853,129.616,640122,82970053.15200001,1506,195201.69600000003,2794791,362249630.25600004
907,262.418,95722,25119175.796,862,226204.316,4141764,1086873425.352
1114,12.9007,642208,8284932.7456,1936,24975.7552,6081871,78460393.2097
939,1055.11,169061,178377951.70999998,6955,7338290.049999999,3781776,3990189675.3599997
2606,11.2554,5152642,57995046.7668,17342,195191.1468,3267466,36776636.8164
2837,150.956,243457,36751294.892,6345,957815.82,4412744,666130183.2639999
1793,150.359,955402,143653289.31800002,76100,11442319.9,3087410,464219880.19
1046,85.9267,724678,62269189.1026,8681,745929.6827,3180670,273304476.889
554,46.3771,134737,6248711.322699999,1781,82597.6151,3431584,159146914.32639998
1970,47.9169,52150539,2498892162.2091,4089,195932.2041,12330366,590832914.5854

weighted_avg,NA,NA,3455992082.8668,NA,30091505.106299996,NA,11945612860.7239
weighted_%,NA,NA,0.22395412548168755,NA,0.0019499803671190555,NA,0.7740958941511935
weighted_total,15431696448.696999
