Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
2766,217.447,30780,6693018.66,2464,535789.408
2298,16.1495,0,0.0,0,0.0
2235,73.9095,8,591.276,46,3399.8369999999995
562,151.883,3628,551031.5240000001,1883,285995.689
2322,74.3347,18,1338.0246,13,966.3511
533,77.6496,757,58780.747200000005,2325,180535.32
655,136.191,87,11848.617,187,25467.717
414,208.958,19885,4155129.83,18142,3790916.036
253,149.505,28116,4203482.58,3024,452103.12
853,129.616,39,5055.024,135,17498.160000000003
907,262.418,4180,1096907.24,1769,464217.44200000004
1114,12.9007,82,1057.8574,0,0.0
939,1055.11,37614,39686907.54,24814,26181499.54
2606,11.2554,17,191.3418,125,1406.925
2837,150.956,29224,4411538.143999999,7055,1064994.5799999998
1793,150.359,23,3458.257,203,30522.877
1046,85.9267,23199,1993413.5133,2205,189468.3735
554,46.3771,827,38353.8617,517,23976.9607
1970,47.9169,6162,295263.9378,655,31385.569499999998

weighted_avg,NA,NA,63207367.97579999,NA,33280143.9058
weighted_%,NA,NA,0.6550834065797227,NA,0.3449165934202773
weighted_total,96487511.88159999
