Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,2610,567536.67,220,47838.340000000004
2298,16.1495,0,0.0,0,0.0
2235,73.9095,36,2660.7419999999997,37,2734.6515
562,151.883,1617,245594.81100000002,567,86117.66100000001
2322,74.3347,28,2081.3716,19,1412.3593
533,77.6496,1044,81066.1824,762,59168.995200000005
655,136.191,100,13619.1,141,19202.931
414,208.958,7130,1489870.54,4060,848369.48
253,149.505,6860,1025604.2999999999,601,89852.50499999999
853,129.616,77,9980.432,72,9332.352
907,262.418,1618,424592.324,447,117300.846
1114,12.9007,21,270.91470000000004,2,25.8014
939,1055.11,14088,14864389.679999998,4726,4986449.859999999
2606,11.2554,43,483.9822,67,754.1118
2837,150.956,4955,747986.98,686,103555.81599999999
1793,150.359,42,6315.078,93,13983.387
1046,85.9267,7484,643075.4228,589,50610.8263
554,46.3771,329,15258.0659,117,5426.1206999999995
1970,47.9169,4502,215721.88379999998,250,11979.225

weighted_avg,NA,NA,20356108.480400003,NA,6454115.269199998
weighted_%,NA,NA,0.759266639119478,NA,0.24073336088052197
weighted_total,26810223.7496
