Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2766,217.447,1688111,367074672.617,347280,75514994.16
2298,16.1495,1276686,20617840.557,32738,528702.331
2235,73.9095,1555987,115002221.1765,329938,24385552.610999998
562,151.883,1197814,181927583.76200002,899056,136551322.448
2322,74.3347,1462557,108718735.82789999,266737,19827814.8739
533,77.6496,1552544,120554420.58240001,1669565,129641054.42400001
655,136.191,1192108,162354380.628,164092,22347853.572
414,208.958,1531572,320034221.976,1088481,227446812.798
253,149.505,1297752,194020412.76,597489,89327592.945
853,129.616,1843139,238900304.624,1251606,162228163.296
907,262.418,1425822,374161357.596,1769665,464391949.97
1114,12.9007,413355,5332568.8485,155666,2008200.3662
939,1055.11,1456272,1536527149.9199998,1700501,1794215610.11
2606,11.2554,1582030,17806380.462,181626,2044273.2804
2837,150.956,1425606,215203779.336,736717,111211851.45199999
1793,150.359,1485598,223373029.682,1101697,165650059.22300002
1046,85.9267,1228792,105586041.5464,282644,24286666.1948
554,46.3771,1369446,63510934.0866,799587,37082526.257699996
1970,47.9169,1348700,64625523.03,32217,1543738.7673

weighted_avg,NA,NA,4435331559.018299,NA,3490234739.0803
weighted_%,NA,NA,0.5596232991051211,NA,0.440376700894879
weighted_total,7925566298.0985985
