Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
2766,217.447,122285542,26590624251.274002
2298,16.1495,89521069,1445720503.8155
2235,73.9095,396526140,29307048744.329998
562,151.883,99050329,15044061119.507002
2322,74.3347,128783996,9573119707.461199
533,77.6496,267888177,20801409788.7792
655,136.191,135745049,18487253968.359
414,208.958,120785016,25238995373.328
253,149.505,147982948,22124190640.739998
853,129.616,394651752,51153181487.232
907,262.418,122139577,32051623517.186
1114,12.9007,234742839,3028346943.0873003
939,1055.11,110662985,116761622103.34999
2606,11.2554,1591396204,17911800834.5016
2837,150.956,128113318,19339474032.008
1793,150.359,574745007,86418084507.513
1046,85.9267,127329075,10940967228.8025
554,46.3771,103565888,4803085544.3647995
1970,47.9169,2513084106,120419199798.7914

weighted_avg,NA,NA,631439810094.4305
weighted_%,NA,NA,1.0
weighted_total,631439810094.4305
