Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
2766,217.447,93040738,20231429355.886
2298,16.1495,0,0.0
2235,73.9095,2082985978,153952452140.991
562,151.883,420745659,63904112925.897
2322,74.3347,248871434,18499783384.9598
533,77.6496,731482124,56799294335.750404
655,136.191,1659566464,226018016298.624
414,208.958,712513223,148885338051.634
253,149.505,121319399,18137856747.495
853,129.616,1624150244,210515858026.30402
907,262.418,135033493,35435219166.074
1114,12.9007,43873891,566003905.6237
939,1055.11,497679510,525106627796.1
2606,11.2554,3782544197,42574047954.9138
2837,150.956,96158927,14515766984.211998
1793,150.359,3239578582,487099796010.93805
1046,85.9267,89856172,7721044334.5924
554,46.3771,279319891,12954046516.8961
1970,47.9169,601438572,28819071910.666798

weighted_avg,NA,NA,2071735765847.5576
weighted_%,NA,NA,1.0
weighted_total,2071735765847.5576
