Simpoints,Weight,FDIP_BLOOM_HIT_val,FDIP_BLOOM_HIT_w_val,FDIP_BLOOM_MISS_val,FDIP_BLOOM_MISS_w_val
2766,217.447,0,0.0,0,0.0
2298,16.1495,0,0.0,0,0.0
2235,73.9095,0,0.0,0,0.0
562,151.883,0,0.0,0,0.0
2322,74.3347,0,0.0,0,0.0
533,77.6496,0,0.0,0,0.0
655,136.191,0,0.0,0,0.0
414,208.958,0,0.0,0,0.0
253,149.505,0,0.0,0,0.0
853,129.616,0,0.0,0,0.0
907,262.418,0,0.0,0,0.0
1114,12.9007,0,0.0,0,0.0
939,1055.11,0,0.0,0,0.0
2606,11.2554,0,0.0,0,0.0
2837,150.956,0,0.0,0,0.0
1793,150.359,0,0.0,0,0.0
1046,85.9267,0,0.0,0,0.0
554,46.3771,0,0.0,0,0.0
1970,47.9169,0,0.0,0,0.0

weighted_avg,NA,NA,0.0,NA,0.0
weighted_%,NA,NA,NA,NA,NA
weighted_total,0.0
