Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
2766,217.447,100682,21892998.854,29861,6493184.867
2298,16.1495,0,0.0,0,0.0
2235,73.9095,62,4582.388999999999,997,73687.77149999999
562,151.883,15666,2379399.078,14162,2150967.046
2322,74.3347,14,1040.6858,20,1486.694
533,77.6496,2221,172459.76160000003,12362,959904.3552000001
655,136.191,113,15389.583,1600,217905.6
414,208.958,74868,15644267.544,130060,27177077.48
253,149.505,112142,16765789.709999999,38244,5717669.22
853,129.616,119,15424.304000000002,1078,139726.048
907,262.418,11253,2952989.754,15004,3937319.6720000003
1114,12.9007,826,10655.9782,312,4025.0184
939,1055.11,167142,176353195.61999997,206039,217393809.29
2606,11.2554,61,686.5794,548,6167.9592
2837,150.956,137708,20787848.847999997,65099,9827084.644
1793,150.359,75,11276.925000000001,1326,199376.034
1046,85.9267,89167,7661826.0589,22687,1949419.0429
554,46.3771,2026,93960.0046,3493,161995.2103
1970,47.9169,2787,133544.4003,2585,123865.1865

weighted_avg,NA,NA,264897336.07779998,NA,276534671.13900006
weighted_%,NA,NA,0.48925318885281543,NA,0.5107468111471847
weighted_total,541432007.2168
