Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2766,217.447,2572,559273.684,258,56101.326
2298,16.1495,0,0.0,0,0.0
2235,73.9095,30,2217.285,43,3178.1085
562,151.883,1500,227824.50000000003,684,103887.97200000001
2322,74.3347,26,1932.7022,21,1561.0286999999998
533,77.6496,794,61653.782400000004,1012,78581.39520000001
655,136.191,87,11848.617,154,20973.414
414,208.958,6217,1299091.886,4973,1039148.134
253,149.505,6679,998543.895,782,116912.91
853,129.616,57,7388.112000000001,92,11924.672
907,262.418,1473,386541.71400000004,592,155351.456
1114,12.9007,20,258.014,3,38.7021
939,1055.11,12711,13411503.209999999,6103,6439336.329999999
2606,11.2554,34,382.6836,76,855.4104
2837,150.956,4754,717644.8239999999,887,133897.97199999998
1793,150.359,27,4059.693,108,16238.772
1046,85.9267,7334,630186.4177999999,739,63499.8313
554,46.3771,294,13634.8674,152,7049.3192
1970,47.9169,4331,207528.09389999998,421,20173.0149

weighted_avg,NA,NA,18541513.981300004,NA,8268709.768299999
weighted_%,NA,NA,0.691583709053403,NA,0.308416290946597
weighted_total,26810223.7496
