Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_val,INST_LOST_WAIT_FOR_ICACHE_MISS_w_val
2766,217.447,125755,27345047.485
2298,16.1495,0,0.0
2235,73.9095,28545,2109746.6774999998
562,151.883,192165,29186596.695
2322,74.3347,9340,694286.098
533,77.6496,562460,43674794.016
655,136.191,100835,13732819.485
414,208.958,1940575,405498670.85
253,149.505,468275,70009453.875
853,129.616,49185,6375162.960000001
907,262.418,123685,32457170.330000002
1114,12.9007,6550,84499.585
939,1055.11,2203465,2324897956.1499996
2606,11.2554,68135,766886.679
2837,150.956,294955,44525226.98
1793,150.359,67170,10099614.030000001
1046,85.9267,429035,36865561.7345
554,46.3771,56680,2628654.028
1970,47.9169,2359515,113060644.3035

weighted_avg,NA,NA,3164012791.9614997
weighted_%,NA,NA,1.0
weighted_total,3164012791.9614997
