Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
49,53.1722,4668502,248234522.04439998
1172,4605.89,4515726,20798937226.140003

weighted_avg,NA,NA,21047171748.184402
weighted_%,NA,NA,1.0
weighted_total,21047171748.184402
