Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
2264,44.9546,1200655,53974965.263,1420529,63859312.9834
812,334.908,1500408,502498642.46400005,730710,244720624.68
1358,97.2156,1041982,101296905.3192,1367172,132910446.2832
1778,40.8635,1379352,56365150.452,310997,12708425.909500001
828,45.4532,1162831,52854390.0092,3618208,164459131.86560002
2213,8.07837,1190590,9618026.5383,373504,3017303.50848
1726,65.5195,1229992,80588460.844,226310,14827718.044999998
2054,37.2896,1403670,52342292.832,124999,4661162.7104
1903,16.1097,822197,13245347.0109,41682,671484.5154
509,133.977,1145113,153418804.401,534225,71573862.825
1751,10.0901,1324000,13359292.4,102341,1032630.9241
62,40.4224,1424377,57576736.8448,530238,21433492.531200003
2151,40.7196,1324330,53926187.868,2732108,111250344.91679999
239,98.774,1450395,143261315.73,129048,12746587.152
1893,44.3029,673126,29821433.8654,67964,3011002.2956000003
1305,111.513,1246079,138954007.527,1781027,198607663.851
1673,34.2884,1381364,47364761.37760001,433969,14880102.6596
492,45.4197,976097,44334032.9109,710869,32287456.719299998
2249,320.874,1361148,436757003.35200006,2518057,807979021.8180001
264,17.7912,1359884,24193968.2208,3691100,65669098.32
2123,26.1783,1109306,29039745.259800002,533403,13963583.754900001
116,27.1629,1253479,34048124.729100004,1469281,39909932.8749
1159,18.1708,1385273,25171518.628399998,853431,15507524.0148
1270,263.009,1314277,345666679.49300003,2994553,787594389.977
2165,28.2044,1108426,31262490.2744,53425,1506820.07
1152,171.372,1169619,200439947.268,1188827,203731660.64400002
792,79.0312,1191611,94174447.2632,105630,8348065.6559999995
1979,51.6033,1060276,54713740.5108,482518,24899521.1094
2185,56.1164,1107888,62170686.1632,3901447,218935160.4308

weighted_avg,NA,NA,2942439104.8199997,NA,3296703533.0453806
weighted_%,NA,NA,0.471609526437547,NA,0.5283904735624531
weighted_total,6239142637.86538
