Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
2264,44.9546,1397687020,62832460909.292
812,334.908,1367422617,457960773814.236
1358,97.2156,2170106478,210968203322.6568
1778,40.8635,4179828111,170802406013.8485
828,45.4532,3415965201,155266549474.0932
2213,8.07837,1688119642,13637255072.34354
1726,65.5195,1154153060,75619531414.67
2054,37.2896,1074667308,40073914048.3968
1903,16.1097,1490879069,24017614537.8693
509,133.977,4093183969,548392508614.713
1751,10.0901,1382843114,13953025304.5714
62,40.4224,1516115164,61285013605.273605
2151,40.7196,3352888843,136528292531.4228
239,98.774,1032268930,101961331291.82
1893,44.3029,1886693592,83585997537.0168
1305,111.513,2588988772,288705904932.036
1673,34.2884,1702148540,58363949998.936005
492,45.4197,3155537085,143323547739.5745
2249,320.874,1220827607,391731837568.518
264,17.7912,5274209416,93834514561.9392
2123,26.1783,2596310486,67966994795.6538
116,27.1629,1947546962,52901023374.1098
1159,18.1708,1204055097,21878644356.5676
1270,263.009,1736886416,456816759385.744
2165,28.2044,1247236628,35177560750.7632
1152,171.372,1315222047,225392232638.484
792,79.0312,1676965489,132532594954.25679
1979,51.6033,1794896010,92622557272.833
2185,56.1164,5541126812,310948088632.9168

weighted_avg,NA,NA,4529081088454.557
weighted_%,NA,NA,1.0
weighted_total,4529081088454.557
