Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
2264,44.9546,2636,118500.3256,1390,62486.894
812,334.908,7900,2645773.2,725,242808.30000000002
1358,97.2156,10841,1053914.3196,3597,349684.5132
1778,40.8635,2,81.727,1,40.8635
828,45.4532,269,12226.910800000001,293,13317.787600000001
2213,8.07837,9,72.70533,62,500.85893999999996
1726,65.5195,21,1375.9094999999998,3,196.55849999999998
2054,37.2896,228,8502.0288,177,6600.2592
1903,16.1097,10,161.097,13,209.4261
509,133.977,1661,222535.79700000002,282,37781.514
1751,10.0901,0,0.0,0,0.0
62,40.4224,509,20575.001600000003,210,8488.704000000002
2151,40.7196,95,3868.362,228,9284.0688
239,98.774,119,11754.106,14,1382.836
1893,44.3029,0,0.0,0,0.0
1305,111.513,14166,1579693.158,5834,650566.8420000001
1673,34.2884,89,3051.6676,20,685.768
492,45.4197,2636,119726.3292,569,25843.8093
2249,320.874,17381,5577110.994,5432,1742987.5680000002
264,17.7912,1049,18662.9688,484,8610.9408
2123,26.1783,48,1256.5584,8,209.4264
116,27.1629,321,8719.2909,39,1059.3531
1159,18.1708,94,1708.0552,264,4797.0912
1270,263.009,7468,1964151.212,9147,2405743.3230000003
2165,28.2044,3,84.6132,0,0.0
1152,171.372,202,34617.144,62,10625.064
792,79.0312,697,55084.746399999996,5,395.156
1979,51.6033,693,35761.086899999995,174,8978.974199999999
2185,56.1164,10,561.164,35,1964.074

weighted_avg,NA,NA,13499530.478829999,NA,5595249.973840002
weighted_%,NA,NA,0.7069748988364187,NA,0.2930251011635813
weighted_total,19094780.45267
