Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
2264,44.9546,2975,133739.935,1051,47247.2846
812,334.908,8274,2771028.792,351,117552.708
1358,97.2156,12552,1220250.2112,1886,183348.62159999998
1778,40.8635,3,122.5905,0,0.0
828,45.4532,375,17044.95,187,8499.7484
2213,8.07837,19,153.48902999999999,52,420.07524
1726,65.5195,22,1441.4289999999999,2,131.039
2054,37.2896,271,10105.4816,134,4996.8064
1903,16.1097,12,193.3164,11,177.2067
509,133.977,1772,237407.244,171,22910.067
1751,10.0901,0,0.0,0,0.0
62,40.4224,563,22757.8112,156,6305.8944
2151,40.7196,161,6555.8556,162,6596.5752
239,98.774,121,11951.654,12,1185.288
1893,44.3029,0,0.0,0,0.0
1305,111.513,17208,1918915.7040000001,2792,311344.29600000003
1673,34.2884,95,3257.398,14,480.03760000000005
492,45.4197,2926,132898.0422,279,12672.0963
2249,320.874,19817,6358760.058,2996,961338.5040000001
264,17.7912,1155,20548.836,378,6725.0736
2123,26.1783,54,1413.6282,2,52.3566
116,27.1629,322,8746.4538,38,1032.1902
1159,18.1708,140,2543.912,218,3961.2344
1270,263.009,9802,2578014.2180000003,6813,1791880.317
2165,28.2044,3,84.6132,0,0.0
1152,171.372,222,38044.584,42,7197.624000000001
792,79.0312,697,55084.746399999996,5,395.156
1979,51.6033,772,39837.747599999995,95,4902.313499999999
2185,56.1164,12,673.3968,33,1851.8411999999998

weighted_avg,NA,NA,15591576.097730001,NA,3503204.35494
weighted_%,NA,NA,0.8165360233586687,NA,0.18346397664133138
weighted_total,19094780.45267
