Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
2264,44.9546,6375,286585.575,2925,131492.205
812,334.908,62189,20827593.612,3326,1113904.0080000001
1358,97.2156,41250,4010143.5,6191,601861.7796
1778,40.8635,18,735.543,22,898.9970000000001
828,45.4532,893,40589.7076,404,18363.092800000002
2213,8.07837,91,735.13167,111,896.69907
1726,65.5195,6,393.11699999999996,2,131.039
2054,37.2896,691,25767.1136,292,10888.5632
1903,16.1097,59,950.4723,22,354.4134
509,133.977,6376,854237.3520000001,233,31216.641
1751,10.0901,0,0.0,0,0.0
62,40.4224,1922,77691.85280000001,282,11399.116800000002
2151,40.7196,583,23739.5268,455,18527.418
239,98.774,261,25780.014,33,3259.542
1893,44.3029,0,0.0,0,0.0
1305,111.513,54196,6043558.548,7991,891100.383
1673,34.2884,103,3531.7052000000003,35,1200.094
492,45.4197,10259,465960.7023,826,37516.6722
2249,320.874,82277,26400550.098,14204,4557694.296
264,17.7912,5719,101747.8728,1119,19908.3528
2123,26.1783,12,314.1396,12,314.1396
116,27.1629,262,7116.6798,97,2634.8013
1159,18.1708,418,7595.3944,349,6341.6092
1270,263.009,36724,9658742.516,17581,4623961.229
2165,28.2044,85,2397.374,0,0.0
1152,171.372,470,80544.84000000001,176,30161.472
792,79.0312,4471,353348.4952,0,0.0
1979,51.6033,611,31529.616299999998,82,4231.4706
2185,56.1164,120,6733.968,50,2805.8199999999997

weighted_avg,NA,NA,69338614.46736999,NA,12121063.854570001
weighted_%,NA,NA,0.8512016729716773,NA,0.14879832702832277
weighted_total,81459678.32193999
