Simpoints,Weight,NODE_CYCLE_val,NODE_CYCLE_w_val
2264,44.9546,4360730,196034872.858
812,334.908,3930921,1316496890.2680001
1358,97.2156,5702374,554359709.8343999
1778,40.8635,10648557,435137308.9695
828,45.4532,9853234,447861015.6488
2213,8.07837,4744143,38324942.48691
1726,65.5195,2978140,195126243.73
2054,37.2896,2864334,106809869.1264
1903,16.1097,3124740,50338623.978
509,133.977,9537607,1277819973.039
1751,10.0901,3676280,37094032.828
62,40.4224,3923617,158602015.8208
2151,40.7196,9270786,377502697.6056
239,98.774,2954316,291809608.584
1893,44.3029,3554179,157460436.8191
1305,111.513,7131715,795278934.7950001
1673,34.2884,3974960,136295018.46400002
492,45.4197,7344993,333607378.5621
2249,320.874,4615514,1480998439.236
264,17.7912,16025295,285109228.404
2123,26.1783,10477700,274288373.91
116,27.1629,6206763,168593682.6927
1159,18.1708,3879282,70489657.3656
1270,263.009,5929195,1559431647.755
2165,28.2044,3279326,92491422.2344
1152,171.372,3785517,648731619.324
792,79.0312,4182636,330558742.2432
1979,51.6033,4496002,232008540.0066
2185,56.1164,15925082,893658271.5447999

weighted_avg,NA,NA,12942319198.13391
weighted_%,NA,NA,1.0
weighted_total,12942319198.13391
