Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
2264,44.9546,52118,2342943.8427999998,0,0.0
812,334.908,88445,29620938.060000002,0,0.0
1358,97.2156,292187,28405134.517199997,0,0.0
1778,40.8635,82,3350.8070000000002,0,0.0
828,45.4532,25901,1177283.3332,0,0.0
2213,8.07837,1001,8086.448369999999,0,0.0
1726,65.5195,250,16379.874999999998,0,0.0
2054,37.2896,4830,180108.768,0,0.0
1903,16.1097,309,4977.8973,0,0.0
509,133.977,71920,9635625.84,0,0.0
1751,10.0901,0,0.0,0,0.0
62,40.4224,12074,488060.05760000006,0,0.0
2151,40.7196,15248,620892.4608,0,0.0
239,98.774,1217,120207.958,0,0.0
1893,44.3029,0,0.0,0,0.0
1305,111.513,458857,51168520.641,0,0.0
1673,34.2884,1629,55855.80360000001,0,0.0
492,45.4197,92828,4216219.9116,0,0.0
2249,320.874,306193,98249372.68200001,0,0.0
264,17.7912,26575,472801.14,0,0.0
2123,26.1783,613,16047.2979,0,0.0
116,27.1629,5374,145973.4246,0,0.0
1159,18.1708,7249,131720.1292,0,0.0
1270,263.009,345531,90877762.779,0,0.0
2165,28.2044,303,8545.9332,0,0.0
1152,171.372,6528,1118716.4160000002,0,0.0
792,79.0312,9783,773162.2296,0,0.0
1979,51.6033,36143,1865098.0718999999,0,0.0
2185,56.1164,2062,115712.0168,0,0.0

weighted_avg,NA,NA,321839498.34167004,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,321839498.34167004
