Simpoints,Weight,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_val,INST_LOST_WAIT_FOR_ICACHE_MISS_NOT_PREFETCHED_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,INST_LOST_WAIT_FOR_ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_OFFPATH_w_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_val,INST_LOST_WAIT_FOR_ICACHE_MISS_MSHR_HIT_PREF_ONPATH_w_val
2264,44.9546,1250,56193.25,0,0.0,0,0.0,8105,364357.033,346550,15579016.629999999
812,334.908,0,0.0,0,0.0,0,0.0,3655,1224088.74,431495,144511127.46
1358,97.2156,0,0.0,0,0.0,0,0.0,88950,8647327.62,2017815,196163095.914
1778,40.8635,0,0.0,0,0.0,0,0.0,0,0.0,405,16549.717500000002
828,45.4532,0,0.0,0,0.0,0,0.0,7135,324308.582,165910,7541140.4120000005
2213,8.07837,0,0.0,0,0.0,0,0.0,0,0.0,16810,135797.39969999998
1726,65.5195,0,0.0,0,0.0,0,0.0,0,0.0,1385,90744.50749999999
2054,37.2896,1535,57239.536,0,0.0,0,0.0,720,26848.512,39155,1460074.288
1903,16.1097,0,0.0,0,0.0,0,0.0,205,3302.4885,2815,45348.8055
509,133.977,0,0.0,0,0.0,0,0.0,10935,1465038.495,376455,50436311.535000004
1751,10.0901,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,40.4224,5595,226163.328,0,0.0,0,0.0,2920,118033.40800000001,78100,3156989.4400000004
2151,40.7196,0,0.0,0,0.0,0,0.0,2625,106888.95,123685,5036403.726
239,98.774,0,0.0,0,0.0,0,0.0,0,0.0,10185,1006013.1900000001
1893,44.3029,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1305,111.513,1005,112070.565,0,0.0,0,0.0,186505,20797732.065,3302160,368233768.08000004
1673,34.2884,0,0.0,0,0.0,0,0.0,0,0.0,10315,353684.846
492,45.4197,0,0.0,0,0.0,0,0.0,21150,960626.655,516070,23439744.579
2249,320.874,0,0.0,0,0.0,0,0.0,56990,18286609.26,1884615,604723953.51
264,17.7912,1380,24551.856,0,0.0,0,0.0,1045,18591.804,176580,3141570.096
2123,26.1783,0,0.0,0,0.0,0,0.0,655,17146.7865,5305,138875.8815
116,27.1629,0,0.0,0,0.0,0,0.0,0,0.0,26695,725113.6155
1159,18.1708,1235,22440.938,0,0.0,0,0.0,3680,66868.544,60780,1104421.224
1270,263.009,25050,6588375.45,0,0.0,0,0.0,36165,9511720.485000001,2731670,718453795.0300001
2165,28.2044,65,1833.286,0,0.0,0,0.0,0,0.0,1500,42306.6
1152,171.372,0,0.0,0,0.0,0,0.0,1235,211644.42,38830,6654374.760000001
792,79.0312,0,0.0,0,0.0,0,0.0,0,0.0,45455,3592363.196
1979,51.6033,0,0.0,0,0.0,0,0.0,11570,597050.181,194825,10053612.9225
2185,56.1164,0,0.0,0,0.0,0,0.0,0,0.0,12980,728390.872

weighted_avg,NA,NA,7088868.209000001,NA,0.0,NA,0.0,NA,62748184.02900001,NA,2166564588.2377005
weighted_%,NA,NA,0.0031697652517783622,NA,0.0,NA,0.0,NA,0.028057654266276145,NA,0.9687725804819455
weighted_total,2236401640.4757004
