Simpoints,Weight,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_ONPATH_w_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_val,FDIP_PREF_ICACHE_PROBE_HIT_OFFPATH_w_val
517,810.151,1057964,857110592.564,373666,302725883.566
5297,898.498,1059337,951812175.8260001,393368,353440361.264
5168,967.77,1058399,1024286800.23,376269,364141850.13
2807,979.819,1057806,1036458417.114,373246,365713522.474
2215,509.983,1059337,540243861.271,374252,190862157.716
1490,862.35,1060306,914354879.1,383870,331030294.5
3954,490.914,1055492,518155799.68799996,376577,184866921.378
2031,399.553,1061684,424199027.252,375036,149846758.908

weighted_avg,NA,NA,6266621553.045,NA,2242627749.936
weighted_%,NA,NA,0.7364482259145525,NA,0.2635517740854475
weighted_total,8509249302.981
