Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
517,810.151,77790,63021646.29,17800,14420687.799999999
5297,898.498,77420,69561715.16,19219,17268233.062000003
5168,967.77,77739,75233472.03,18560,17961811.2
2807,979.819,77600,76033954.39999999,18069,17704349.511
2215,509.983,78038,39798053.354,18184,9273530.872
1490,862.35,77712,67014943.2,18681,16109560.35
3954,490.914,78269,38423347.866,18087,8879161.518
2031,399.553,76270,30473907.31,18524,7401319.772

weighted_avg,NA,NA,459561039.60999995,NA,109018654.085
weighted_%,NA,NA,0.8082614358305236,NA,0.19173856416947643
weighted_total,568579693.6949999
