Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
517,810.151,45154,36581558.254,1557,1261405.1069999998
5297,898.498,47526,42702015.948,1748,1570574.5040000002
5168,967.77,45150,43694815.5,1708,1652951.16
2807,979.819,45908,44981530.651999995,1510,1479526.69
2215,509.983,46443,23685140.469,1538,784353.854
1490,862.35,47394,40870215.9,1791,1544468.85
3954,490.914,46373,22765154.922,1626,798226.164
2031,399.553,46513,18584408.689,1566,625699.998

weighted_avg,NA,NA,273864840.334,NA,9717206.327
weighted_%,NA,NA,0.9657340567168691,NA,0.03426594328313087
weighted_total,283582046.661
