Simpoints,Weight,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_ONPATH_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_val,ICACHE_MISS_MSHR_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,12914,10462290.013999999,104,84255.704
5297,898.498,13605,12224065.290000001,82,73676.83600000001
5168,967.77,12683,12274226.91,95,91938.15
2807,979.819,13050,12786637.95,102,99941.538
2215,509.983,13208,6735855.464,87,44368.521
1490,862.35,13566,11698640.1,93,80198.55
3954,490.914,13313,6535538.0819999995,30,14727.42
2031,399.553,13384,5347617.352,68,27169.604

weighted_avg,NA,NA,78064871.162,NA,516276.323
weighted_%,NA,NA,0.993430023109569,NA,0.006569976890430999
weighted_total,78581147.485
