Simpoints,Weight,FDIP_NEW_PREFETCHES_ONPATH_val,FDIP_NEW_PREFETCHES_ONPATH_w_val,FDIP_NEW_PREFETCHES_OFFPATH_val,FDIP_NEW_PREFETCHES_OFFPATH_w_val
517,810.151,327966,265701982.866,113004,91550303.604
5297,898.498,327185,293975068.13,118050,106067688.9
5168,967.77,327418,316865317.86,113706,110041255.62
2807,979.819,327920,321302246.47999996,113497,111206517.043
2215,509.983,327079,166804729.657,114417,58350724.911
1490,862.35,326618,281659032.3,116487,100452564.45
3954,490.914,330194,162096857.31599998,114494,56206707.515999995
2031,399.553,327034,130667415.802,114320,45676898.96

weighted_avg,NA,NA,1939072650.411,NA,679552661.0040001
weighted_%,NA,NA,0.7404925943235472,NA,0.25950740567645286
weighted_total,2618625311.415
