Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,111087,89997244.137,0,0.0
5297,898.498,121476,109145943.04800001,0,0.0
5168,967.77,111045,107466019.64999999,0,0.0
2807,979.819,115814,113476757.666,0,0.0
2215,509.983,115082,58689863.606,0,0.0
1490,862.35,120137,103600141.95,0,0.0
3954,490.914,114678,56297035.692,0,0.0
2031,399.553,115689,46223887.017,0,0.0

weighted_avg,NA,NA,684896892.766,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,684896892.766
