Simpoints,Weight,ICACHE_UNUSEFUL_CL_CYC_val,ICACHE_UNUSEFUL_CL_CYC_w_val
517,810.151,324756469,263101778116.81897
5297,898.498,339708778,305227657615.44403
5168,967.77,318378219,308116889001.63
2807,979.819,326835269,320239406436.311
2215,509.983,328405672,167481309823.576
1490,862.35,331834645,286157606115.75
3954,490.914,337377088,165623135778.432
2031,399.553,331403304,132413184323.112

weighted_avg,NA,NA,1948360967211.074
weighted_%,NA,NA,1.0
weighted_total,1948360967211.074
