Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
517,810.151,1463720,1185834221.72,504470,408696874.96999997
5297,898.498,1463942,1315348959.1160002,530637,476776283.226
5168,967.77,1463556,1416385590.12,508535,492144916.95
2807,979.819,1463326,1433794617.994,504812,494624389.028
2215,509.983,1464454,746846644.2820001,506853,258486413.499
1490,862.35,1464636,1263028854.6000001,519038,447592419.3
3954,490.914,1463955,718676004.87,509158,249952790.412
2031,399.553,1464988,585340350.364,507880,202924977.64

weighted_avg,NA,NA,8665255243.066,NA,3031199065.025
weighted_%,NA,NA,0.7408446196444187,NA,0.2591553803555813
weighted_total,11696454308.091
