Simpoints,Weight,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_OPS_ACCUMULATED_w_val
517,810.151,654765631,530459030720.28094
5297,898.498,657197073,590490255696.354
5168,967.77,654610461,633512365841.97
2807,979.819,656078742,642838416907.698
2215,509.983,654222054,333642125765.08203
1490,862.35,658686947,568018688745.4501
3954,490.914,657208212,322632712185.768
2031,399.553,656131612,262159353969.436

weighted_avg,NA,NA,3883752949832.039
weighted_%,NA,NA,1.0
weighted_total,3883752949832.039
