Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,12219,9899235.069,799,647310.649
5297,898.498,12876,11569060.248000002,811,728681.878
5168,967.77,11936,11551302.72,842,814862.34
2807,979.819,12366,12116441.753999999,786,770137.7339999999
2215,509.983,12454,6351328.282,841,428895.703
1490,862.35,12756,11000136.6,903,778702.05
3954,490.914,12567,6169316.238,776,380949.26399999997
2031,399.553,12583,5027575.399,869,347211.557

weighted_avg,NA,NA,73684396.31,NA,4896751.174999999
weighted_%,NA,NA,0.9376854203365417,NA,0.062314579663458304
weighted_total,78581147.485
