Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,310483,251538112.933,66688,54027349.888
5297,898.498,308445,277137215.61,68926,61929873.148
5168,967.77,310221,300222577.17,67356,65185116.12
2807,979.819,310399,304134837.78099996,66243,64906150.017
2215,509.983,308838,157502129.754,66849,34091853.567
1490,862.35,308857,266342833.95000002,67490,58200001.5
3954,490.914,311129,152737581.906,67270,33023784.779999997
2031,399.553,308995,123459879.235,67137,26824789.761

weighted_avg,NA,NA,1833075168.3389997,NA,398188918.78099996
weighted_%,NA,NA,0.8215411070883314,NA,0.17845889291166855
weighted_total,2231264087.12
