Simpoints,Weight,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_val,ICACHE_EVICT_MISS_BY_FDIP_ONPATH_w_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_val,ICACHE_EVICT_MISS_BY_FDIP_OFFPATH_w_val
517,810.151,5707,4623531.756999999,41004,33219431.604
5297,898.498,5797,5208592.906,43477,39063997.546000004
5168,967.77,5339,5166924.03,41519,40180842.63
2807,979.819,5602,5488946.038,41816,40972111.304
2215,509.983,5854,2985440.482,42127,21484053.841000002
1490,862.35,5481,4726540.350000001,43704,37688144.4
3954,490.914,5872,2882647.008,42127,20680734.077999998
2031,399.553,5835,2331391.755,42244,16878716.932

weighted_avg,NA,NA,33414014.326,NA,250168032.335
weighted_%,NA,NA,0.11782838412878732,NA,0.8821716158712126
weighted_total,283582046.661
