Simpoints,Weight,ICACHE_HIT_ONPATH_BY_FDIP_val,ICACHE_HIT_ONPATH_BY_FDIP_w_val,ICACHE_HIT_OFFPATH_BY_FDIP_val,ICACHE_HIT_OFFPATH_BY_FDIP_w_val
517,810.151,377171,305565462.821,37479,30363649.329
5297,898.498,377371,339067088.758,39433,35430471.634
5168,967.77,377577,365407693.29,39697,38417565.69
2807,979.819,376642,369040987.798,39492,38695011.948
2215,509.983,375687,191593983.321,38993,19885767.119
1490,862.35,376347,324542835.45,40912,35280463.2
3954,490.914,378399,185761366.686,38849,19071517.985999998
2031,399.553,376132,150284668.996,38557,15405565.021

weighted_avg,NA,NA,2231264087.12,NA,232550011.92700002
weighted_%,NA,NA,0.9056138155809117,NA,0.0943861844190883
weighted_total,2463814099.047
