Simpoints,Weight,CBR_CORRECT_val,CBR_CORRECT_w_val,CBR_CORRECT_BTB_MISS_NT_NT_val,CBR_CORRECT_BTB_MISS_NT_NT_w_val,CBR_RECOVER_MISPREDICT_val,CBR_RECOVER_MISPREDICT_w_val,CBR_RECOVER_MISFETCH_val,CBR_RECOVER_MISFETCH_w_val,CBR_RECOVER_BTB_MISS_T_T_val,CBR_RECOVER_BTB_MISS_T_T_w_val,CBR_RECOVER_BTB_MISS_T_NT_val,CBR_RECOVER_BTB_MISS_T_NT_w_val,CBR_RECOVER_BTB_MISS_NT_T_val,CBR_RECOVER_BTB_MISS_NT_T_w_val
517,810.151,741560,600775575.56,499700,404832454.7,2125,1721570.875,0,0.0,6404,5188207.004,2,1620.302,3,2430.453
5297,898.498,746317,670564331.866,496611,446203990.278,2311,2076428.878,0,0.0,6555,5889654.390000001,6,5390.988,55,49417.39
5168,967.77,741884,717973078.68,498636,482564961.71999997,2210,2138771.7,0,0.0,6390,6184050.3,4,3871.08,6,5806.62
2807,979.819,741205,726246741.895,499511,489430368.509,2177,2133065.963,0,0.0,6375,6246346.125,2,1959.638,2,1959.638
2215,509.983,742278,378549161.274,498605,254280073.715,2099,1070454.317,0,0.0,6480,3304689.84,2,1019.966,2,1019.966
1490,862.35,743947,641542695.45,499315,430584290.25,2261,1949773.35,0,0.0,6460,5570781.0,8,6898.8,57,49153.950000000004
3954,490.914,742262,364386807.468,498513,244727010.882,2138,1049574.132,0,0.0,6434,3158540.676,3,1472.742,2,981.828
2031,399.553,742132,296521066.996,498827,199307824.331,2092,835864.876,0,0.0,6495,2595096.735,6,2397.318,3,1198.659

weighted_avg,NA,NA,4396559459.189,NA,2951930974.3849998,NA,12975504.090999998,NA,0.0,NA,38137366.07,NA,24630.833999999995,NA,111968.504
weighted_%,NA,NA,0.5941505399890038,NA,0.39892361259334375,NA,0.0017535081314968208,NA,0.0,NA,0.005153879267318861,NA,3.328608075774554e-06,NA,1.5131410761275704e-05
weighted_total,7399739903.072998
