Simpoints,Weight,FDIP_PREFETCH_HIT_ICACHE_val,FDIP_PREFETCH_HIT_ICACHE_w_val,FDIP_PREFETCH_HIT_MLC_val,FDIP_PREFETCH_HIT_MLC_w_val,FDIP_PREFETCH_HIT_L1_val,FDIP_PREFETCH_HIT_L1_w_val,FDIP_PREFETCH_HIT_DRAM_val,FDIP_PREFETCH_HIT_DRAM_w_val
517,810.151,1431630,1159836476.1299999,536462,434615225.76199996,98,79394.798,0,0.0
5297,898.498,1452705,1305252537.0900002,541509,486544753.48200005,204,183293.592,161,144658.178
5168,967.77,1434668,1388428650.36,537167,519854107.59,255,246781.35,1,967.77
2807,979.819,1431052,1402171939.588,536779,525946263.001,306,299824.614,1,979.819
2215,509.983,1433589,731106018.987,537482,274106682.806,233,118826.039,3,1529.949
1490,862.35,1444176,1245385173.6000001,539063,464860978.05,269,231972.15,166,143150.1
3954,490.914,1432069,703022721.066,540755,265464200.07,289,141874.146,0,0.0
2031,399.553,1436720,574045786.16,535899,214120053.14699998,247,98689.591,2,799.106

weighted_avg,NA,NA,8509249302.981001,NA,3185512263.908,NA,1400656.28,NA,292084.922
weighted_%,NA,NA,0.7275067365581672,NA,0.2723485408483516,NA,0.00011975050242628644,NA,2.4972091054803743e-05
weighted_total,11696454308.091002
