Simpoints,Weight,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_val,FDIP_FTQ_OCCUPANCY_BLOCKS_ACCUMULATED_w_val
517,810.151,91649728,74250118788.928
5297,898.498,91700873,82393050988.754
5168,967.77,91625132,88672053995.64
2807,979.819,91843639,89990142521.341
2215,509.983,91519989,46673638550.187004
1490,862.35,92133023,79450912384.05
3954,490.914,91984197,45156330086.058
2031,399.553,91840972,36695335885.516

weighted_avg,NA,NA,543281583200.474
weighted_%,NA,NA,1.0
weighted_total,543281583200.474
