Simpoints,Weight,FDIP_ATTEMPTED_PREF_ONPATH_val,FDIP_ATTEMPTED_PREF_ONPATH_w_val,FDIP_ATTEMPTED_PREF_OFFPATH_val,FDIP_ATTEMPTED_PREF_OFFPATH_w_val
517,810.151,1463720,1185834221.72,844127,683870333.1769999
5297,898.498,1463923,1315331887.654,887366,797296576.268
5168,967.77,1463539,1416369138.03,849617,822233844.09
2807,979.819,1463308,1433776981.2519999,843858,826828101.702
2215,509.983,1464454,746846644.2820001,848202,432568600.566
1490,862.35,1464636,1263028854.6000001,863984,745056602.4
3954,490.914,1463931,718664222.934,847933,416262180.76199996
2031,399.553,1464988,585340350.364,848496,339019122.288

weighted_avg,NA,NA,8665192300.836,NA,5063135361.253
weighted_%,NA,NA,0.6311906675104404,NA,0.36880933248955955
weighted_total,13728327662.089
