Simpoints,Weight,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_ONPATH_w_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_val,ICACHE_MISS_MSHR_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,14736,11938385.136,43,34836.492999999995
5297,898.498,15581,13999497.338000001,60,53909.880000000005
5168,967.77,14744,14268800.879999999,43,41614.11
2807,979.819,14751,14453310.069,67,65647.87299999999
2215,509.983,14882,7589567.006,27,13769.541
1490,862.35,15101,13022347.35,58,50016.3
3954,490.914,14815,7272890.91,34,16691.076
2031,399.553,14918,5960531.654,22,8790.166

weighted_avg,NA,NA,88505330.343,NA,285275.439
weighted_%,NA,NA,0.9967870988547999,NA,0.003212901145200118
weighted_total,88790605.78199999
