Simpoints,Weight,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_val,FDIP_PREF_MSHR_PROBE_HIT_ONPATH_w_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_val,FDIP_PREF_MSHR_PROBE_HIT_OFFPATH_w_val
517,810.151,89184,72252506.784,27200,22036107.2
5297,898.498,89533,80445221.434,29773,26750980.954
5168,967.77,89052,86181854.03999999,27253,26374635.81
2807,979.819,89078,87280316.882,27158,26609924.402
2215,509.983,89065,45421635.895,27295,13919985.985
1490,862.35,88988,76738801.8,28313,24415715.55
3954,490.914,88964,43673673.096,27223,13364151.821999999
2031,399.553,88966,35546632.198,27284,10901404.052

weighted_avg,NA,NA,527540642.129,NA,164372905.77499998
weighted_%,NA,NA,0.7624372202669949,NA,0.23756277973300502
weighted_total,691913547.904
