Simpoints,Weight,ICACHE_MISS_NOT_PREFETCHED_val,ICACHE_MISS_NOT_PREFETCHED_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_w_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_val,ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_w_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_val,ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_w_val
517,810.151,0,0.0,0,0.0,0,0.0,42,34026.342,14737,11939195.286999999
5297,898.498,0,0.0,0,0.0,0,0.0,41,36838.418000000005,15600,14016568.8
5168,967.77,0,0.0,0,0.0,0,0.0,40,38710.8,14747,14271704.19
2807,979.819,0,0.0,0,0.0,0,0.0,58,56829.502,14760,14462128.44
2215,509.983,0,0.0,0,0.0,0,0.0,22,11219.626,14887,7592116.921
1490,862.35,0,0.0,0,0.0,0,0.0,36,31044.600000000002,15123,13041319.05
3954,490.914,0,0.0,0,0.0,0,0.0,28,13745.592,14821,7275836.393999999
2031,399.553,0,0.0,0,0.0,0,0.0,14,5593.742,14926,5963728.078

weighted_avg,NA,NA,0.0,NA,0.0,NA,0.0,NA,228008.622,NA,88562597.15999998
weighted_%,NA,NA,0.0,NA,0.0,NA,0.0,NA,0.0025679363260546974,NA,0.9974320636739453
weighted_total,88790605.78199998
