Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_CYCLE_DELTA_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,165076,133736486.476,0,0.0
5297,898.498,176391,158486960.718,0,0.0
5168,967.77,168758,163318929.66,0,0.0
2807,979.819,169310,165893154.89,0,0.0
2215,509.983,170321,86860814.543,0,0.0
1490,862.35,173105,149277096.75,0,0.0
3954,490.914,170063,83486307.582,0,0.0
2031,399.553,171426,68493772.578,0,0.0

weighted_avg,NA,NA,1009553523.1969999,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,1009553523.1969999
