Simpoints,Weight,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_ON_FDIP_HIT_BY_DEMAND_LOAD_w_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_val,ICACHE_FILL_CORRECT_REQ_BY_OFF_FDIP_HIT_BY_DEMAND_LOAD_w_val
517,810.151,14089,11414217.439,0,0.0
5297,898.498,14941,13424458.618,0,0.0
5168,967.77,14105,13650395.85,0,0.0
2807,979.819,14115,13830145.184999999,0,0.0
2215,509.983,14244,7264197.852,0,0.0
1490,862.35,14463,12472168.05,0,0.0
3954,490.914,14177,6959687.778,0,0.0
2031,399.553,14279,5705217.287,0,0.0

weighted_avg,NA,NA,84720488.05899999,NA,0.0
weighted_%,NA,NA,1.0,NA,0.0
weighted_total,84720488.05899999
