Simpoints,Weight,FDIP_AVG_FTQ_OCCUPANCY_val,FDIP_AVG_FTQ_OCCUPANCY_w_val
517,810.151,43,34836.492999999995
5297,898.498,43,38635.414000000004
5168,967.77,43,41614.11
2807,979.819,43,42132.217
2215,509.983,43,21929.269
1490,862.35,43,37081.05
3954,490.914,43,21109.302
2031,399.553,43,17180.779

weighted_avg,NA,NA,254518.63400000002
weighted_%,NA,NA,1.0
weighted_total,254518.63400000002
