Simpoints,Weight,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_val,ICACHE_EVICT_MISS_ONPATH_BY_FDIP_w_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_val,ICACHE_EVICT_MISS_OFFPATH_BY_FDIP_w_val
517,810.151,66326,53734075.225999996,1295,1049145.545
5297,898.498,68081,61170642.338,1390,1248912.22
5168,967.77,66673,64524129.21,1359,1315199.43
2807,979.819,66906,65555770.014,1307,1280623.433
2215,509.983,67790,34571747.57,1394,710916.302
1490,862.35,68885,59402979.75,1427,1230573.45
3954,490.914,67041,32911365.474,1372,673534.008
2031,399.553,67636,27024166.708,1385,553380.905

weighted_avg,NA,NA,398894876.28999996,NA,8062285.2930000005
weighted_%,NA,NA,0.9801888600224187,NA,0.019811139977581344
weighted_total,406957161.58299994
