Simpoints,Weight,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_NO_PREF_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_UNUSEFUL_DURING_WARMUP_w_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_val,ICACHE_FIRST_MISS_AFTER_WARMUP_TRAINED_USEFUL_DURING_WARMUP_w_val
517,810.151,0,0.0,0,0.0,0,0.0
5297,898.498,0,0.0,0,0.0,7,6289.486000000001
5168,967.77,0,0.0,0,0.0,0,0.0
2807,979.819,0,0.0,0,0.0,0,0.0
2215,509.983,0,0.0,0,0.0,0,0.0
1490,862.35,0,0.0,0,0.0,7,6036.45
3954,490.914,0,0.0,0,0.0,0,0.0
2031,399.553,0,0.0,0,0.0,0,0.0

weighted_avg,NA,NA,0.0,NA,0.0,NA,12325.936000000002
weighted_%,NA,NA,0.0,NA,0.0,NA,1.0
weighted_total,12325.936000000002
