Simpoints,Weight,ICACHE_HIT_BY_FDIP_ONPATH_val,ICACHE_HIT_BY_FDIP_ONPATH_w_val,ICACHE_HIT_BY_FDIP_OFFPATH_val,ICACHE_HIT_BY_FDIP_OFFPATH_w_val
517,810.151,322747,261473804.797,78279,63417810.12899999
5297,898.498,319241,286837400.018,81225,72980500.05
5168,967.77,323090,312676809.3,77889,75378637.53
2807,979.819,323172,316650065.868,77745,76176028.155
2215,509.983,322660,164551114.78,78381,39972977.523
1490,862.35,322170,277823299.5,78860,68004921.0
3954,490.914,322949,158540185.386,77933,38258400.762
2031,399.553,322450,128835864.85,78578,31396075.634

weighted_avg,NA,NA,1907388544.4989998,NA,465585350.783
weighted_%,NA,NA,0.8037966824208699,NA,0.1962033175791303
weighted_total,2372973895.2819996
